,participant,block_label,trial_block,f_cor,f_inc,cor_option,inc_option,times_seen,rt,accuracy,feedback_type
355,2,2,37,58,39,4,2,17,1.115978655667277,0,0
356,2,2,38,40,40,3,1,20,1.4764194141534972,1,0
357,2,2,39,54,40,3,1,21,1.4176982650305945,1,0
358,2,2,40,49,31,3,1,22,1.1616420513246342,1,0
359,2,2,41,55,50,4,2,18,1.0800869856984718,1,0
360,2,2,42,40,35,2,1,21,1.3486954363916084,1,0
361,2,2,43,35,36,2,1,22,1.0768173419801317,1,0
362,2,2,44,34,41,2,1,23,1.221432260279471,0,0
363,2,2,45,55,30,3,1,25,1.4480138936824003,0,0
364,2,2,46,41,38,2,1,24,1.6576666984101394,1,0
365,2,2,47,46,36,3,1,26,1.2815829185265102,1,0
366,2,2,48,37,34,2,1,26,1.1054665753263178,1,0
367,2,2,49,53,41,4,2,22,1.1754405007786772,1,0
368,2,2,50,53,39,3,1,28,1.5453413465029369,1,0
369,2,2,51,56,40,4,2,23,1.2370169134683238,0,0
370,2,2,52,47,32,3,1,29,1.2216397916909043,1,0
371,2,2,53,51,37,4,2,24,1.0214501462105543,0,0
372,2,2,54,58,44,4,2,25,1.0300657717552897,1,0
373,2,2,55,44,50,4,3,26,0.978355293092136,1,0
374,2,2,56,48,39,4,2,26,0.8781377605791931,0,0
375,2,2,57,57,48,4,3,27,0.9152155681322256,1,0
376,2,2,58,45,43,2,1,30,1.0000283307681457,1,0
377,2,2,59,53,52,4,3,28,1.0348407008696086,1,0
378,2,2,60,55,34,3,1,32,1.1570739709532063,1,0
379,2,2,61,54,38,4,2,29,1.0394555440752808,1,0
380,2,2,62,47,35,4,2,30,1.1247611938106274,1,0
381,2,2,63,57,47,4,3,31,0.9727195182267678,1,0
382,2,2,64,48,42,4,2,31,0.9106072102831604,1,0
383,2,2,65,50,44,3,1,33,1.0151832437495614,1,0
384,2,2,66,64,54,4,3,33,1.1967496758179552,1,0
385,2,2,67,46,39,4,2,33,1.3718519140502394,1,0
386,2,2,68,56,41,4,2,34,1.0314768488124173,1,0
387,2,2,69,58,37,3,1,35,1.3914346189021671,1,0
388,2,2,70,62,47,4,2,35,0.945141392719961,1,0
389,2,2,71,53,38,4,2,36,0.9962279118135484,1,0
390,2,2,72,49,34,4,2,37,1.0337661796847897,1,0
391,2,2,73,59,44,4,3,37,0.9267298067334196,1,0
392,2,2,74,51,49,4,3,38,1.2008811892910671,1,0
393,2,2,75,42,33,2,1,37,1.9246364018963504,1,0
394,2,2,76,60,53,4,3,39,1.3203271213851622,1,0
395,2,2,77,52,42,3,1,38,1.1405356290133568,1,0
396,2,2,78,50,31,3,1,39,1.5311145221812694,1,0
397,2,2,79,36,38,2,1,39,1.1800085811510144,1,0
398,2,2,80,43,33,2,1,40,1.3395169501627606,1,0
399,2,3,1,49,50,4,3,1,1.2721593540854883,0,0
400,2,3,2,54,33,3,1,1,1.2525247663825212,1,0
401,2,3,3,61,40,4,2,1,1.3221423385584783,0,0
402,2,3,4,48,43,4,2,2,0.9096309934511736,1,0
403,2,3,5,42,39,2,1,2,1.4537210074695397,1,0
404,2,3,6,56,53,4,3,3,1.3057261943895355,0,0
405,2,3,7,55,35,4,2,4,1.2641728081280237,1,0
406,2,3,8,44,38,4,2,5,1.3406163887693765,1,0
407,2,3,9,50,37,2,1,4,1.5993862121995337,1,0
408,2,3,10,38,34,2,1,5,1.345126100932248,1,0
409,2,3,11,53,43,4,3,5,1.7589055039170491,1,0
410,2,3,12,57,51,4,3,6,1.1298989615579558,1,0
411,2,3,13,60,45,4,2,8,1.2632518874943344,1,0
412,2,3,14,45,35,3,1,5,1.4197455897010514,1,0
413,2,3,15,46,37,2,1,7,2.130535550505556,0,0
414,2,3,16,50,38,3,1,7,1.93258335304472,1,0
415,2,3,17,44,28,3,1,8,1.3200301603210391,1,0
416,2,3,18,51,32,4,2,10,1.787806983500559,1,0
417,2,3,19,52,39,4,2,11,0.9449645814192992,1,0
418,2,3,20,43,35,2,1,10,1.7691479299592174,1,0
419,2,3,21,55,41,3,1,9,1.3365425608353692,1,0
420,2,3,22,55,40,4,3,11,1.12605041443112,0,0
421,2,3,23,56,57,4,3,12,0.9389352478110596,1,0
422,2,3,24,51,48,4,3,13,1.3978312284934873,1,0
423,2,3,25,51,42,3,1,12,1.314913555316707,1,0
424,2,3,26,49,32,3,1,13,1.0055763826521795,1,0
425,2,3,27,52,48,4,2,14,0.9305063322681236,1,0
426,2,3,28,54,38,4,2,15,1.1438278008126872,1,0
427,2,3,29,54,30,3,1,14,1.3924162970870384,1,0
428,2,3,30,42,38,3,1,15,1.0258465353008432,1,0
429,2,3,31,58,55,4,3,17,1.5340462446883976,1,0
430,2,3,32,49,44,4,2,16,0.834032215838306,1,0
431,2,3,33,37,32,2,1,15,2.004594021797857,1,0
432,2,3,34,60,41,4,2,18,1.0525627910519688,1,0
433,2,3,35,39,37,2,1,17,1.196430186672842,1,0
434,2,3,36,52,48,4,3,19,1.054414872356574,1,0
435,2,3,37,49,31,3,1,18,0.965491417654448,1,0
436,2,3,38,59,41,4,2,20,1.5599593402275789,1,0
437,2,3,39,53,34,4,2,21,0.8980013837699516,1,0
438,2,3,40,50,51,4,3,21,1.4335320924456028,1,0
439,2,3,41,52,46,3,1,19,1.2112420584253414,1,0
440,2,3,42,47,39,3,1,20,0.99934463765112,1,0
441,2,3,43,64,45,4,3,23,0.9442778162920148,1,0
442,2,3,44,33,36,2,1,20,1.6051493048553311,1,0
443,2,3,45,41,40,2,1,21,1.3407785226836495,1,0
444,2,3,46,57,36,4,2,24,1.073998942545586,1,0
